广西,#genre#
CCTV12,http://171.104.106.24:50112/udp/239.81.0.24:4056
CCTV13,http://171.104.106.24:50112/udp/239.81.0.26:4056
CCTV13,http://171.104.106.24:50112/udp/239.81.0.206:4056
CCTV14,http://171.104.106.24:50112/udp/239.81.0.120:4056
CCTV14,http://171.104.106.24:50112/udp/239.81.0.25:4056
CCTV15,http://171.104.106.24:50112/udp/239.81.0.230:4056
CCTV15,http://171.104.106.24:50112/udp/239.81.0.27:4056
CCTV17,http://171.104.106.24:50112/udp/239.81.0.228:4056
CCTV17,http://171.104.106.24:50112/udp/239.81.0.227:4056
CGTN,http://171.104.106.24:50112/udp/239.81.0.28:4056
CCTV中学生,http://171.104.106.24:50112/udp/239.81.0.87:4056
CETV1,http://171.104.106.24:50112/udp/239.81.0.92:4056
CETV1,http://171.104.106.24:50112/udp/239.81.0.52:4056
CETV2,http://171.104.106.24:50112/udp/239.81.0.245:4056
CETV4,http://171.104.106.24:50112/udp/239.81.0.246:4056
CCTV4K,http://171.104.106.24:50112/udp/239.81.0.69:4056
CCTV4K,http://171.104.106.24:50112/udp/239.81.0.71:4056
地方频道,#genre#
北京卫视,http://171.104.106.24:50112/udp/239.81.0.109:4056
北京卫视,http://171.104.106.24:50112/udp/239.81.0.30:4056
天津卫视,http://171.104.106.24:50112/udp/239.81.0.113:4056
天津卫视,http://171.104.106.24:50112/udp/239.81.0.50:4056
东方卫视,http://171.104.106.24:50112/udp/239.81.0.111:4056
东方卫视,http://171.104.106.24:50112/udp/239.81.0.29:4056
东方财经,http://171.104.106.24:50112/udp/239.81.0.76:4056
重庆卫视,http://171.104.106.24:50112/udp/239.81.0.47:4056
浙江卫视,http://171.104.106.24:50112/udp/239.81.0.108:4056
浙江卫视,http://171.104.106.24:50112/udp/239.81.0.31:4056
安徽卫视,http://171.104.106.24:50112/udp/239.81.0.211:4056
安徽卫视,http://171.104.106.24:50112/udp/239.81.0.37:4056
江苏卫视,http://171.104.106.24:50112/udp/239.81.0.106:4056
江苏卫视,http://171.104.106.24:50112/udp/239.81.0.34:4056
山东卫视,http://171.104.106.24:50112/udp/239.81.0.114:4056
山东卫视,http://171.104.106.24:50112/udp/239.81.0.39:4056
山东教育卫视,http://171.104.106.24:50112/udp/239.81.0.93:4056
辽宁卫视,http://171.104.106.24:50112/udp/239.81.0.210:4056
辽宁卫视,http://171.104.106.24:50112/udp/239.81.0.35:4056
吉林卫视,http://171.104.106.24:50112/udp/239.81.0.58:4056
黑龙江卫视,http://171.104.106.24:50112/udp/239.81.0.105:4056
黑龙江卫视,http://171.104.106.24:50112/udp/239.81.0.33:4056
内蒙古卫视,http://171.104.106.24:50112/udp/239.81.0.54:4056
宁夏卫视,http://171.104.106.24:50112/udp/239.81.0.60:4056
甘肃卫视,http://171.104.106.24:50112/udp/239.81.0.207:4056
青海卫视,http://171.104.106.24:50112/udp/239.81.0.53:4056
新疆卫视,http://171.104.106.24:50112/udp/239.81.0.46:4056
兵团卫视,http://171.104.106.24:50112/udp/239.81.0.213:4056
西藏卫视,http://171.104.106.24:50112/udp/239.81.0.55:4056
云南卫视,http://171.104.106.24:50112/udp/239.81.0.45:4056
四川卫视,http://171.104.106.24:50112/udp/239.81.0.130:4056
四川卫视,http://171.104.106.24:50112/udp/239.81.0.43:4056
贵州卫视,http://171.104.106.24:50112/udp/239.81.0.95:4056
贵州卫视,http://171.104.106.24:50112/udp/239.81.0.56:4056
海南卫视,http://171.104.106.24:50112/udp/239.81.0.48:4056
三沙卫视,http://171.104.106.24:50112/udp/239.81.0.242:4056
广东卫视,http://171.104.106.24:50112/udp/239.81.0.104:4056
广东卫视,http://171.104.106.24:50112/udp/239.81.0.36:4056
南方卫视,http://171.104.106.24:50112/udp/239.81.0.32:4056
深圳卫视,http://171.104.106.24:50112/udp/239.81.0.103:4056
深圳卫视,http://171.104.106.24:50112/udp/239.81.0.57:4056
湖南卫视,http://171.104.106.24:50112/udp/239.81.0.110:4056
湖南卫视,http://171.104.106.24:50112/udp/239.81.0.40:4056
湖北卫视,http://171.104.106.24:50112/udp/239.81.0.112:4056
湖北卫视,http://171.104.106.24:50112/udp/239.81.0.41:4056
陕西卫视,http://171.104.106.24:50112/udp/239.81.0.89:4056
山西卫视,http://171.104.106.24:50112/udp/239.81.0.49:4056
河南卫视,http://171.104.106.24:50112/udp/239.81.0.44:4056
河北卫视,http://171.104.106.24:50112/udp/239.81.0.94:4056
河北卫视,http://171.104.106.24:50112/udp/239.81.0.51:4056
江西卫视,http://171.104.106.24:50112/udp/239.81.0.204:4056
江西卫视,http://171.104.106.24:50112/udp/239.81.0.38:4056
东南卫视,http://171.104.106.24:50112/udp/239.81.0.215:4056
东南卫视,http://171.104.106.24:50112/udp/239.81.0.59:4056
厦门卫视,http://171.104.106.24:50112/udp/239.81.0.212:4056
粤港,#genre#
星空卫视xkws,http://119.129.173.161:8081/hls/18/index.m3u8
凤凰中文台fhzwt,http://ayolee.com:5253/udp/239.93.0.162:2192
凤凰中文台,http://xeace.cn:8888/udp/239.93.1.9:2192
凤凰中文,http://xeace.cn:8888/udp/239.93.0.162:2192
翡翠台feicui,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台mingzhu,https://pi.0472.org/tv/mzt.php?auth=230918
明珠台,https://pi.0472.org/tv/mzt.php?auth=230918
奥亚卫视aoyaweishi,http://119.129.173.161:8081/hls/22/index.m3u8
广东南方卫视,http://183.238.186.115:808:4021/rtp/239.77.0.9:5146
广州台,http://120.77.205.62:8087/udp/239.253.43.66:5146
大湾区卫视,http://120.77.205.62:8087/udp/239.77.0.9:5146
大湾区卫视,http://120.77.205.62:8087/udp/239.77.1.12:5146
广东卫视,http://183.238.186.115:808:4021/rtp/239.77.0.2:5146
广东综艺,http://183.238.186.115:808:4021/rtp/239.77.0.10:5146
广东影视,http://183.238.186.115:808:4021/rtp/239.77.0.11:5146
广东少儿,http://183.238.186.115:808:4021/rtp/239.77.0.12:5146

广东新闻,http://183.238.186.115:808:4021/rtp/239.77.0.4:5146
广东体育,http://183.238.186.115:808:4021/rtp/239.77.0.6:5146
广东经济科教,http://183.238.186.115:808:4021/rtp/239.77.0.8:5146

广东珠江,http://183.238.186.115:808:4021/rtp/239.77.0.3:5146
广东公共,http://183.238.186.115:808:4021/rtp/239.77.0.5:5146
tw,#genre#
TVBS,http://125.227.22.96:4022/udp/224.1.4.153:11111
TVBS,http://125.227.22.96:4022/udp/224.1.4.24:11111
TVBS欢乐台,http://125.227.22.96:4022/udp/224.1.4.154:11111
TVBS新闻台,http://125.227.22.96:4022/udp/224.1.4.13:11111
TVBS新闻台,http://125.227.22.96:4022/udp/224.1.4.152:11111
TVBS精彩台,http://125.227.22.96:4022/udp/230.1.2.225:11111
